Wall time,Step,Value
1716319683,232,1.042972088
1716320055,465,0.79016453
1716320428,698,0.755055189
1716320800,931,0.739306867
1716321172,1164,0.725610852
1716321545,1397,0.723205328
1716321917,1630,0.709326386
1716322290,1863,0.710097969
1716322662,2096,0.705614269
1716323035,2329,0.70090872
1716323407,2562,0.686576962
1716323780,2795,0.692512155
1716324152,3028,0.681150377
1716324525,3261,0.682310104
1716324897,3494,0.681623936
1716325270,3727,0.702819705
1716325642,3960,0.663127601
1716326015,4193,0.689091504
1716326387,4426,0.649588943
1716326760,4659,0.651899934
1716327133,4892,0.652916193
1716327505,5125,0.641000926
1716327878,5358,0.634337068
1716328251,5591,0.62866497
1716328623,5824,0.626783788
1716328996,6057,0.615932167
1716329369,6290,0.621230721
1716329741,6523,0.612104774
1716330114,6756,0.620468736
1716330487,6989,0.615544081
1716330859,7222,0.601859033
1716331232,7455,0.604919672
1716331604,7688,0.602725446
1716331977,7921,0.592018425
1716332350,8154,0.593516767
1716332723,8387,0.589082778
1716333095,8620,0.577637076
1716333468,8853,0.58951962
1716333841,9086,0.576081574
1716334213,9319,0.587036848
1716334586,9552,0.57818681
1716334959,9785,0.595310509
1716335331,10018,0.566808164
1716335704,10251,0.561770499
1716336077,10484,0.558740854
1716336449,10717,0.560704947
1716336822,10950,0.555948079
1716337195,11183,0.553349018
1716337567,11416,0.549288869
1716337940,11649,0.556058347
1716623588,11882,0.548183441
1716623961,12115,0.54645133
1716624333,12348,0.54170382
1716624706,12581,0.553459644
1716625079,12814,0.54353416
1716625452,13047,0.536724091
1716625825,13280,0.531764686
1716626197,13513,0.525420427
1716626570,13746,0.524481356
1716626943,13979,0.51559478
1716627316,14212,0.528899372
1716627689,14445,0.515232801
1716628062,14678,0.510309637
1716628435,14911,0.506239533
1716628807,15144,0.511435211
1716629180,15377,0.498239547
1716629553,15610,0.496894956
1716629926,15843,0.495821774
1716630298,16076,0.505624771
1716630671,16309,0.487574965
1716631044,16542,0.486816257
1716631417,16775,0.491869807
1716631789,17008,0.488662034
1716632162,17241,0.489290744
1716632535,17474,0.485216618
1716632908,17707,0.487835884
1716633280,17940,0.481755883
1716633653,18173,0.491250187
1716634026,18406,0.480137408
1716634399,18639,0.474646717
1716634771,18872,0.482670039
1716635144,19105,0.480460703
1716635517,19338,0.473801404
1716635889,19571,0.472279996
1716636262,19804,0.48661828
1716636635,20037,0.478860557
1716637008,20270,0.47480166
1716637380,20503,0.466467887
1716637753,20736,0.466684371
1716638126,20969,0.487930328
1716638499,21202,0.465100288
1716638872,21435,0.471779495
1716639245,21668,0.463830948
1716639618,21901,0.466862768
1716639990,22134,0.461961985
1716640363,22367,0.460713059
1716640736,22600,0.465839028
1716641109,22833,0.472409576
1716641482,23066,0.462570399
1716641855,23299,0.459696591
